CODE_ARTICE;LIBELLE;id_fta;date_derniere_maj_fta
1001;"SCE CREME LARDON";589;"2006-06-09"
1002;"RAVIOLI VIANDE SCE ROSE";590;"2006-06-09"
5001;"RISOTTO PROVENCAL OH POIVRIER";32;"2002-06-20"
5302;"SAUCE POIVRE PJB";39;"2002-06-17"
5305;"SAUCISSON CUIT PDT 320G CAMPANILE";101;"2002-10-17"
5307;"CIVET SANGLIER 210G CAMPANILE";109;"2002-12-09"
5309;"CANARD LENTILLES 320G CAMPANILE";106;"2003-01-13"
5312;"LOTTE AMERICAINE 180G CAMPANILE";110;"2002-12-09"
5314;"SCE ZINGARA CAMPANILE";105;"2006-04-12"
5317;"CALAMARS FARCIS CAMPANILE";146;"2004-07-12"
5320;"KIT SAUCE "SEMAINE DU GOUT"";147;"2006-04-12"
5324;"SCE FOIE GRAS CAMPANILE";153;"2006-04-12"
5325;"CHARTREUSE AGNEAU CAMPANILE";45;"2004-06-14"
5327;"PARMENTIER CANARD";156;"2003-11-04"
5328;"SCE AGRUMES";46;"2006-04-12"
5329;"JAMBONNEAU SCE MOUTARDE";4;"2004-10-19"
5330;"SCE CHABLIS";3;"2004-10-19"
5331;"COQ GEVREY CHAMBERTIN";44;"2004-11-05"
5450;"SCE BOEUF FLO DOYPACK";591;"2006-06-09"
5451;"SCE VIGNERONNE FLO";158;"2004-01-12"
5502;"BOEUF A LA GUEUZE";37;"2002-06-20"
5503;"DAUBE BOEUF";36;"2002-12-19"
5504;"FRICASSEE VOLAILLE VIN BLANC";34;"2002-06-20"
5505;"CIVET DE PORC";38;"2002-06-20"
5509;"SAUTE D'AGNEAU PROVENCAL";40;"2002-06-21"
5512;"PALERON BRAISE";108;"2002-12-19"
5513;"SOURIS AGNEAU EPICES SURGELE";35;"2002-06-20"
5523;"MAGRETS CANARDS MIEL";118;"2006-04-12"
5525;"CHOUX FARCIS";593;"2006-06-09"
5610;"BOEUF PROVENCALE";594;"2006-06-09"
5612;"POULET CHASSEUR";74;"2004-08-04"
5613;"GARN VOL AU VENT";72;"2004-08-04"
5801;"FILET POULET FARCI TAPENADE";79;"2004-06-14"
5803;"SUPREME POULET CITRON ROMARIN";80;"2004-06-14"
5850;"SAUTE CERF SCE POIVRE";63;"2005-09-02"
5852;"SAUTE CERF SAUCE POIVRE";595;"2006-06-09"
10003;"RECETTE DE LA MER";596;"2006-06-09"
10004;"VELOUTE DE CEPES CHATAIGNES SYS U";102;"2002-11-26"
10017;"CALAMARS AMERICAINE + RIZ GRATUIT";599;"2006-06-09"
10034;"CAILLE FARCIE SAUCE FOIE GRAS 210G";335;"2006-02-13"
10040;"PETIT SALE LENTILLES AUCHAN";600;"2006-06-09"
10044;"BOEUF BOURGUIGNON NEUTRE ITM";601;"2006-06-09"
10050;"PUREE DE PDT TRUFFEE";603;"2006-06-09"
10053;"TRAVERS DE PORC SCE BBQ";52;"2006-04-12"
10062;"BISQUE DE HOMARD SYS U";417;"2004-12-22"
10067;"POULET BASQUAISE + RIZ GRATUIT";605;"2006-06-09"
10073;"CREVETTES SCE PIQUANTE COUPE";606;"2006-06-09"
10084;"GRATIN DAUPHINOIS COUPE";608;"2006-06-09"
10088;"EMIETTE CRABE AGRUME SYS U x6";404;"2004-12-22"
10089;"POMMES DE TERRE FONDANTES 400G";609;"2006-06-09"
10091;"BOEUF CHOP SUEY";610;"2006-06-09"
10093;"PORC 5 PARFUMS";611;"2006-06-09"
10095;"TIMBALE ECREVISSE CHABLIS SYS U x6";402;"2004-12-21"
10097;"SAUCE CHAMPAGNE 70G SYS U";391;"2004-12-22"
10100;"POMMES AUX FRUITS ROUGES ITM";365;"2005-11-28"
10111;"POULET SCE THAI TTDA";154;"2005-06-16"
10120;"RECETTE EXOTIQUE";612;"2006-06-09"
10122;"SAUCE SAFRANEE 70G SYS U";384;"2003-10-10"
10123;"SAUCE COULIS LANGOUSTINE 70G SYS U";385;"2003-10-10"
10126;"FEUILLETE ST JACQUES ASPERGES SYS U";383;"2003-10-10"
10128;"BLANQUETTE VEAU + RIZ GRATUIT";614;"2006-06-09"
10136;"SCE CHAMPAGNE SYS U";339;"2005-12-15"
10140;"FILET BAR TACHETE SCE BEURRE BLANC SCA";354;"2005-12-15"
10141;"RIZ AUX LEGUMES SCA";375;"2005-11-28"
10152;"GAMBAS PERSILLEES ANIS SYS U";343;"2002-10-11"
10180;"RATATOUILLE COUPE";619;"2006-06-09"
10183;"POULET COQ AU VIN MIJOTE";620;"2006-06-09"
10186;"RIZ CANTONAIS AUCHAN";621;"2006-06-09"
10187;"RIZ CANTONAIS AUCHAN";622;"2006-06-09"
10193;"BLANQUETTE VOLAILLE COUPE";70;"2005-03-07"
10201;"POULET INDIENNE TR";624;"2006-06-09"
10203;"AGNEAU TIKKA TR";626;"2006-06-09"
10223;"RISOTTO DE GAMBAS COUPE";629;"2006-06-09"
10238;"JUS AU VINAIGRE BALSAMIQUE SYS U";302;"2005-11-25"
10239;"SCE FOIE GRAS SYS U";336;"2005-12-15"
10240;"SCE POIVRE SYS U";294;"2005-12-15"
10241;"SCE BEURRE BLANC SYS U";293;"2005-12-15"
10243;"FLT DORADE SCE CHABLIS SYS U";371;"2005-12-15"
