"code_agrologic";"designation";"ca"
5403;"SCE CARBO B.ROMAIN    8x  .900";87887
5514;"CHARLOTTE AGNEAU AUBERGINE   10";1568
5517;"CROUSTILLANT AGNEAU 2.5KG    2x";7008
5519;"PARMENTIER MORUE 310G   10x  .3";1460
5521;"PARMENTIER BOEUF   10x  .280 00";10010
5851;"CSSE PINTADE SCE FIGUES POMONA";1520
5853;"FLT SANDRE SCE CHAMP POMONA   1";3424
10005;"PLT CURRY TTDA 1.5KG    2x 1.50";130596
10006;"CSSE PINTADEAU RIESLING 2KG TR";12925
10011;"COQ VIN 1KG TR    2x 1.000 010";15892
10012;"LANGUE SCE PIQ 2X2KG+PUR TR";35182
10013;"PLT EPICES 1.5KG RC AUC    2x 1";6487
10014;"MARRONS POMMES RAISINS TR    2x";-259
10022;"MED SOLE COULIS LANG. TR    2x";-1088
10028;"CERF SCE POIVRE TR 2KG    2x 2.";-18
10051;"RIZ CANTO TR    2x 2.000 010 TR";13722
10052;"FAJITA PLT 3.17KG    2x 3.170 0";17050
10063;"PAVE SAUMON SCE BLC 2KG TRFST";3533
10074;"PAELLA ROYALE KIT 4.3KG TR    1";117901
10078;"SEICHES SCE PIQ 1.5KG TTDA    2";17923
10103;"MENU ITM NOEL DELICE    1x  .67";-278
10125;"FLT ROUGET SCE HOL ITM 130G";-89
10129;"SEICHES PIQ 1.5KG RIZ GRATUIT";43253
10143;"RIZ 3 COULEURS SCA 80G   10x  .";-80
10144;"PAVE VEAU SCE FG SCA 160G    10";-1204
10145;"FRIC MARRONS SCA 100G   10x  .1";-93
10146;"LOTTE AMERICAINE ITM 200G    6x";-71
10147;"FRIC MARRONS ITM 100G    6x  .1";-104
10148;"EMB PDT ITM 90G    6x  .090 010";-6
10149;"CROUST CANARD FG ITM 185G    6x";-14
10151;"CIVET SANGLIER ITM 170G    6x";-1
10154;"FLT CABILLAUD SCE BB ITM 160G";-43
10164;"POMMES FR 2x1.334KG (TR)    2x";-34
10167;"MOUSS CELERI AIRELLE 90G TRFST";-230
10168;"MOUSS BROCOLIS CHOU 90G TRFST";4147
10169;"MOUSS ASPERGE VERTE 90G TRFST";-592
10170;"GATEAU LEGUME TR 90G   12x  .09";-61
10172;"EM ST JACQ XERES ITM 115G    6x";-23
10177;"ROGNON BF SCE MOUTRD 2KG TR";14520
10181;"RIZ CANTO 1.5KG    3x 1.500 010";71476
10184;"BLANQUETTE VEAU 2KG TR    2x 2.";93418
10185;"FRIC VOLAILLE CREME 2KG (TAG)";18029
10194;"LIMANDE VIN B 2KG (TAG)    2x 2";69787
10195;"LANGUE BOEUF PIQ 1KG TR    2x 1";188942
10197;"CALAMARS AM 1KG TR    2x 1.000";41476
10198;"MOULES MARINIERES 2KG TR    2x";61211
10199;"FRICADELLE TOMATE 2KG TR    2x";135269
10200;"RIZ TAJ MAHAL 2KG TR    2x 2.00";10224
10202;"PORC VINDALOO 2KG TR    2x 2.00";12473
10205;"TAJINE PLT CITRON 3KG (TAG)";-67
10206;"HACHIS PARM TR 1.2KG    8x  .30";196
10207;"TARTIFLETTE TR 1.2KG    8x  .30";270
10208;"GRATIN DAUPHINOIS 300G TRFST";13679
10209;"GRAT COURGETTE TR 1.2KG    8x";16034
10211;"TAJ KEFTA 3KG    2x 3.000 010 T";36718
10212;"CHILI 2.4KG    2x 2.400 010 TRA";20903
10213;"FAJITA BOEUF    2x 3.170 010 TR";15747
10215;"FRIC DINDE MARRON 2KG TR    2x";5598
10219;"BLANQ LOTTE 2KG (TR)    2x 2.00";-86
10222;"EMB PDT TR 90G   12x  .090 010";3666
10225;"CAS ST JAQ SAFRAN (TAG) 120G";-35
10226;"RIZ CANTO 1KG TAUC    3x 1.000";178235
10227;"QUENELLE BROCHET 2KG TAUC    2x";3744
10249;"MENU BUFFET FETE 6 PERS TAUC";-1402
10275;"FLT SAUMON SCE CHAMP ITM 150G";-102
10276;"FLT CANARD SCE FG ITM 170G    6";-21
10284;"MENU SUPREME 815G TCAR    1x  .";-43
10289;"MENU TRADITION 655G TCAR    1x";94
