"NOM du produit";"Gencod EAN Article";"Gencod EAN Colis";"Gencod EAN Palette";"Code Article Arcadia";PCB;"Listes des ingrédients";"Listes des allergènes";"Origines matières premières";DLC;"Code Douane";"Conseils de réchauffage";"Energie (kcal)";"Energie (kJ)";"Matières grasses (g)";"Acides gras saturés (g)";"Glucides (g)";"Sucres (g)";"Protéines (g)";"Sel (g)"
"2 TOURTE DUO SAUMON FEFST 4X240G";3366760036909;13366760036906;23366760036903;5114;4;"Garniture : (SAUMON (19%) - SAUMON FUME (8%) - CREME - Vin blanc - Eau - Echalote - Fécule de maïs - Aneth (0,4%) - Fumet de POISSON (POISSON, sel, sirop de glucose, maltodextrine, oignon, huiles de tournesol et de palme, arômes (POISSON et CELERI), extrait de levure, acidifiant : acide citrique, extraits de champignon et de poireau, fécule de pomme de terre, extrait de vin blanc, extraits d'épices et de plantes aromatiques) - Sel - Poivre - Epices
Pâte brisée pur beurre (FARINE DE BLE - BEURRE (colorant : E160a) - Eau - Sel - Sucre inverti - Agent de traitement de la farine : E300 - Emulsifiant : E471)";"Poisson, gluten, lait, oeuf, céleri";"Saumon : Norvège";11;16041100;"Four traditionnel (mode de réchauffage recommandé) :  préchauffer le four 10 min à 160°C. Placer les produits sur la grille du four et réchauffer 20 min.";333;1386;24.2;15.6;20.8;0.9;7.4;0.70
"2 TOURTE VEAU PORTO FEFST 4X240G";3366760036923;13366760036920;23366760036927;5115;4;"Garniture : Ris de veau (18%) - Champignons - Maigre de veau - Gras de porc - Foie de volaille - Graisse d'oie - Eau - sel – Poivre – Ail – Persil – CREME - LAIT - OEUF - LACTOPROTEINES - Sirop de glucose - Dextrose - Plasma de porc  - Cognac - Porto (<0,1%) - Arome - Colorant E120 - Epices - Conservateur : nitrite de sodium - Antioxydants : Ascorbate de sodium, Acide ascorbique - Acidifiant : Acide citrique
Pâte brisée pur beurre (FARINE DE BLE - BEURRE (colorant : E160a) - Eau - Sel - Sucre inverti - Agent de traitement de la farine : E300 - Emulsifiant : E471)";"Gluten, lait, oeuf ";"Ris de veau : origine UE ou Nouvelle-Zélande";11;16025095;"Four traditionnel (mode de réchauffage recommandé) :  préchauffer le four 10 min à 160°C. Placer les produits sur la grille du four et réchauffer 20 min.";264;1101;17.2;8.6;18.0;0.5;9.4;1.01
"TOURTE VEAU PORTO FEFST 16X120G";3366760036916;13366760036913;23366760036910;5117;16;"Garniture : Ris de veau (18%) - Champignons - Maigre de veau - Gras de porc - Foie de volaille - Graisse d'oie - Eau - sel – Poivre – Ail – Persil – CREME - LAIT - OEUF - LACTOPROTEINES - Sirop de glucose - Dextrose - Plasma de porc  - Cognac - Porto (<0,1%) - Arome - Colorant E120 - Epices - Conservateur : nitrite de sodium - Antioxydants : Ascorbate de sodium, Acide ascorbique - Acidifiant : Acide citrique
Pâte brisée pur beurre (FARINE DE BLE - BEURRE (colorant : E160a) - Eau - Sel - Sucre inverti - Agent de traitement de la farine : E300 - Emulsifiant : E471)";"Gluten, lait, oeuf";"ris de veau : origine UE ou Nouvelle-Zélande";11;16025095;"Four traditionnel (mode de réchauffage recommandé) :  préchauffer le four 10 min à 160°C. Placer les produits sur la grille du four et réchauffer 20 min.";264;1101;17.2;8.6;18.0;0.5;9.4;1.01
"TOURTE SAUMON ANETH FEFST 16X120G";3366760036893;13366760036890;23366760036897;5119;16;"Garniture : (SAUMON (19%) - SAUMON FUME (8%) - CREME - Vin blanc - Eau - Echalote - Fécule de maïs - Aneth (0,4%) - Fumet de POISSON (POISSON, sel, sirop de glucose, maltodextrine, oignon, huiles de tournesol et de palme, arômes (POISSON et CELERI), extrait de levure, acidifiant : acide citrique, extraits de champignon et de poireau, fécule de pomme de terre, extrait de vin blanc, extraits d'épices et de plantes aromatiques) - Sel - Poivre - Epices
Pâte brisée pur beurre (FARINE DE BLE - BEURRE (colorant : E160a) - Eau - Sel - Sucre inverti - Agent de traitement de la farine : E300 - Emulsifiant : E471)";"Poisson, gluten, lait, oeuf, céleri";"Saumon : Norvège";11;16041100;"Four traditionnel (mode de réchauffage recommandé) :  préchauffer le four 10 min à 160°C. Placer les produits sur la grille du four et réchauffer 20 min.";333;1386;24.2;15.6;20.8;0.9;7.4;0.70
"PLAT 12 MINI SOUFFLE FSTSU 2X144G";3366760037494;13366760037491;23366760037498;6478;2;"4 soufflés tomates séchées parmesan 33,3% : farine de BLE, LAIT, CREME (dont épaississant : carraghénanes), ŒUF, tomates séchées et marinées 4,1% (tomates, huile de colza, sel, ail, origan), PARMESAN râpé 2,7%, EMMENTAL, BEURRE concentré, poudre à lever (E450i, E500ii, amidon de BLE), arômes naturels (paprika et emmental), sel.
";"blé, lait, oeufs, poisson, traces éventuelles de fruits à coques";"Tomates : France, Maroc, Pologne, Turquie
Parmesan : UE des 15
Emmental : UE des 15
Saumon :élevé en Ecosse
Aneth : UE des 15";17;19059090;"Micro-ondes (mode de réchauffage conseillé) : 2 minutes à 750W.
Four traditionnel : 5 mn à 180°C.";289;1204;19.3;13.1;17.0;2.2;11.1;1.15
"PLAT 12 MINI SOUFFLE FSTSU 2X144G";3366760037494;13366760037491;23366760037498;6478;2;"4 soufflés emmental 33,3% : farine de BLE, LAIT, CREME (dont épaississant : carraghénanes), EMMENTAL 6,3%, ŒUF, BEURRE concentré, poudre à lever (E450i, E500ii, amidon de BLE), arôme naturel, sel, curcuma.";"blé, lait, oeufs, poisson, traces éventuelles de fruits à coques";"Tomates : France, Maroc, Pologne, Turquie
Parmesan : UE des 15
Emmental : UE des 15
Saumon :élevé en Ecosse
Aneth : UE des 15";17;19059090;"Micro-ondes (mode de réchauffage conseillé) : 2 minutes à 750W.
Four traditionnel : 5 mn à 180°C.";0;0;0.0;0.0;0.0;0.0;0.0;0.00
"PLAT 12 MINI SOUFFLE FSTSU 2X144G";3366760037494;13366760037491;23366760037498;6478;2;"4 soufflés saumon fumé aneth 33,3% : farine de BLE, LAIT, CREME (dont épaississant : carraghénanes), SAUMON fumé 4,5% (SAUMON 4,4%, sel), ŒUF, EMMENTAL, BEURRE concentré, poudre à lever (E450i, E500ii, amidon de BLE), aneth 0,1%.";"blé, lait, oeufs, poisson, traces éventuelles de fruits à coques";"Tomates : France, Maroc, Pologne, Turquie
Parmesan : UE des 15
Emmental : UE des 15
Saumon :élevé en Ecosse
Aneth : UE des 15";17;19059090;"Micro-ondes (mode de réchauffage conseillé) : 2 minutes à 750W.
Four traditionnel : 5 mn à 180°C.";0;0;0.0;0.0;0.0;0.0;0.0;0.00
"PLAT 12 MINI FINANCIER FSTSU 2X144G";3366760037630;13366760037637;23366760037634;6480;2;"4 financiers saumon fumé parmesan 33,3% : blanc d'ŒUF, farine de BLE, poudre d'AMANDE, SAUMON fumé 4,2% (SAUMON 4%, sel), BEURRE concentré, eau, PARMESAN râpé 1,8%, poudre à lever (E450i, E500ii, amidon de BLE), épaississant : gomme guar, sel.";"Blé
Lait 
oeufs
Fruits à coque
Poisson";"saumon : élevé en Ecosse
parmesan : UE des 15
lardons : UE des 15
cèpes : Chine, UE, Turquie, Afrique du sud
chorizo : UE des 15";17;19059090;"Micro-ondes (mode de réchauffage conseillé) : 2 minutes à 750W.
Four traditionnel : 5 mn à 180°C.";359;1491;25.5;10.1;16.8;2.2;13.9;1.08
"PLAT 12 MINI FINANCIER FSTSU 2X144G";3366760037630;13366760037637;23366760037634;6480;2;"4 financiers lardons cèpes 33,3% : blanc d'ŒUF, farine de BLE, poudre d'AMANDE, lardons 3,4% (poitrine de porc, eau, sel, dextrose, conservateurs : E316, E250), cèpes 3,4%, BEURRE concentré, eau, poudre à lever (E450i, E500ii, amidon de BLE), sel, épaississant : gomme guar, poudre de cacao.";"Blé
Lait 
oeufs
Fruits à coque
Poisson";"saumon : élevé en Ecosse
parmesan : UE des 15
lardons : UE des 15
cèpes : Chine, UE, Turquie, Afrique du sud
chorizo : UE des 15";17;19059090;"Micro-ondes (mode de réchauffage conseillé) : 2 minutes à 750W.
Four traditionnel : 5 mn à 180°C.";0;0;0.0;0.0;0.0;0.0;0.0;0.00
"PLAT 12 MINI FINANCIER FSTSU 2X144G";3366760037630;13366760037637;23366760037634;6480;2;"4 financiers chorizo doux tomates marinées 33,3% : blanc d'ŒUF, farine de BLE, chorizo 5,1% (maigre de porc, gras de porc, sel, dextrose, piment, épices et extraits d'épices, ferments, conservateurs : E301 et E250), poudre d'AMANDE, BEURRE concentré, tomates séchées et marinées 2% (tomates, huile de colza, sel, ail, origan), eau, poudre à lever (E450i, E500ii, amidon de BLE), arôme naturel, sel, épaississant : gomme guar.";"Blé
Lait 
oeufs
Fruits à coque
Poisson";"saumon : élevé en Ecosse
parmesan : UE des 15
lardons : UE des 15
cèpes : Chine, UE, Turquie, Afrique du sud
chorizo : UE des 15";17;19059090;"Micro-ondes (mode de réchauffage conseillé) : 2 minutes à 750W.
Four traditionnel : 5 mn à 180°C.";0;0;0.0;0.0;0.0;0.0;0.0;0.00
